id_orgao;nom_orgao;cod_local;nom_local;cod_tipo_material;tipo_material;id_material;nom_material;saldo_inicial_valor;saldo_inicial_qtd;entrada_qtd;entrada_valor;saida_qtd;saida_valor;saldo_final_qtd;saldo_final_valor
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;63.02;ALIMENTOS PARA ANIMAIS                                      ;83011002;FARINHA PARA ANIMAIS FARELO DE SOJA SACA COM 50 KG;0;;30000;16.929,10;30000;16.929,10;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;63.02;ALIMENTOS PARA ANIMAIS                                      ;73725001;MILHO PARA ALIMENTA??O ANIMAL SACO C/50 KG;0;;100;748;100;748;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;63.04;EQUIPAMENTOS E IMPLEMENTOS PARA AGROPECUARIA                ;65706003;APARADOR DE GRAMA SEM RECOLHEDOR,MOTOR 5,0 HP GASOLINA 2 TEMPOS;0;;1;1.385,00;1;1.385,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;63.07;SEMENTES E MUDAS DE PLANTAS                                 ;27030003;MUDAS,SEMENTES DE PLANTAS E ORNAMENTOS GRAMA;0;;100;7.000,00;100;7.000,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;16.02;ARTIGOS DE USO DOMESTICO - DIVERSOS                         ;123374001;CORTINA EM TECIDO BLACK OUT;0;;10;8.878,80;10;8.878,80;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;16.01;GUARNICOES DE CAMA, MESA E BANHO                            ;70033003;CAPA EM TECIDO PARA SOFA COM 2 LUGARES;0;;6000;16.983,00;6000;16.983,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;16.01;GUARNICOES DE CAMA, MESA E BANHO                            ;11878002;TOALHA DE ROSTO FELPUDA, COR BRANCA, MED 0,70X0,50 M;0;;2;339;2;339;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;36.01;COMBUSTIVEIS-SOLIDOS, LIQUIDOS E GASOSOS                    ;2330003;GAS GLP CARGA PARA BOTIJAO DE 13KG;0;;24;2.126,00;24;2.126,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;36.01;COMBUSTIVEIS-SOLIDOS, LIQUIDOS E GASOSOS                    ;2330001;GAS GLP CARGA PARA BOTIJAO DE 45KG;0;;55;7.211,80;55;7.211,80;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;36.02;LUBRIFICANTES                                               ;2283003;LUBRIFICANTE PROTETOR DE CORREA;0;;1;290;1;290;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;78.01;COMBUSTIVEL                                                 ;98876001;DIESEL DIESEL COMUM;0;;1109;4.209,90;1109;4.209,90;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;78.01;COMBUSTIVEL                                                 ;98876006;DIESEL DIESEL S-10;0;;764;2.902,77;764;2.902,77;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;78.01;COMBUSTIVEL                                                 ;98850001;GASOLINA GASOLINA ADITIVADA;0;;2764;11.695,29;2764;11.695,29;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;78.01;COMBUSTIVEL                                                 ;98850002;GASOLINA GASOLINA COMUM;0;;2171;8.989,28;2171;8.989,28;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;39.02;CONDICIONADORES DE AR                                       ;4162027;CONDICIONADOR DE AR CAPACIDADE DE 24.000 BTUS,QUENTE/FRIO;0;;3;11.700,00;3;11.700,00;;0
7001;01 SEC.DE EST.DO DES.REG.-S.M.D'OESTE             ;70010001;SDR 1-SAO MIGUEL D`OESTE      ;18.04;EQUIPAMENTOS DE CONSERVACAO E LIMPEZA-INDUSTRIAL/HOSPITALAR ;14800001;LAVADORA DE ALTA PRESSAO ELETRICA ( TIPO LAVA JATO ) POTENCIA 2000 LIBRAS, 220 V;0;;1;900;1;900;;0
